bl_id,vf_age,vf_vote_gen_12,vf_vote_gen_16,vf_vote_gen_18,vf_vote_gen_20,vf_female,vf_white,voted_2022,treat
524,41,0,0,0,1,0,1,0,"HowToOnly"
525,63,0,1,1,0,0,1,1,"Control"
526,58,1,1,1,1,1,1,1,"BothMailers"
527,49,1,1,1,1,0,1,1,"HowToOnly"
529,73,0,1,1,1,0,1,1,"HowToOnly"
530,28,0,1,1,1,0,1,0,"HowToOnly"
531,26,0,1,1,1,1,1,1,"Control"
532,70,0,1,0,0,1,1,0,"Control"
533,61,0,1,1,0,1,1,0,"HowToOnly"
534,45,0,1,0,1,1,1,0,"HowToOnly"
535,68,0,1,0,1,0,1,1,"HowToOnly"
537,22,0,0,0,0,0,1,0,"Control"
538,33,0,0,0,0,0,1,0,"HowToOnly"
539,55,1,1,1,1,1,1,0,"BothMailers"
540,74,0,1,0,1,0,1,1,"BothMailers"
541,62,0,1,1,0,0,1,0,"BothMailers"
542,48,0,1,1,1,0,1,1,"HowToOnly"
543,38,0,1,0,0,1,1,0,"BothMailers"
545,37,0,0,0,0,0,1,1,"BothMailers"
546,67,1,1,0,0,1,1,0,"BothMailers"
548,42,1,0,0,0,1,1,0,"BothMailers"
549,46,0,0,0,1,0,1,1,"BothMailers"
551,46,1,1,1,1,0,1,0,"BothMailers"
552,43,1,1,1,0,0,1,0,"HowToOnly"
553,52,1,1,1,1,0,1,1,"BothMailers"
554,67,1,1,1,1,0,1,1,"BothMailers"
555,26,0,0,1,0,0,1,0,"HowToOnly"
556,62,0,1,1,1,0,1,0,"HowToOnly"
557,69,1,1,1,0,1,1,0,"BothMailers"
558,54,1,1,0,1,0,1,1,"HowToOnly"
559,52,1,1,1,1,1,1,0,"BothMailers"
560,52,0,0,0,0,1,1,0,"Control"
561,22,0,0,0,0,0,1,0,"BothMailers"
563,54,0,1,0,0,0,1,1,"BothMailers"
564,25,0,1,1,1,1,1,1,"BothMailers"
565,35,0,0,0,0,0,1,0,"BothMailers"
566,87,0,1,1,0,1,1,1,"BothMailers"
567,22,0,0,0,0,0,1,0,"Control"
569,30,0,1,1,0,1,1,0,"BothMailers"
570,44,0,1,0,0,1,1,0,"BothMailers"
571,31,1,1,0,1,1,1,0,"BothMailers"
572,26,0,0,0,0,0,1,0,"BothMailers"
573,26,1,1,0,1,0,1,0,"BothMailers"
574,50,0,0,0,0,1,1,0,"HowToOnly"
575,37,1,1,1,1,0,0,0,"HowToOnly"
576,22,0,1,0,1,1,1,1,"HowToOnly"
577,18,0,0,0,1,1,1,0,"HowToOnly"
578,41,0,0,0,1,1,1,0,"HowToOnly"
580,58,0,1,1,1,0,1,1,"Control"
581,64,1,1,1,1,0,1,1,"BothMailers"
582,79,1,1,0,1,1,1,0,"BothMailers"
583,71,1,1,1,1,1,1,1,"BothMailers"
584,39,1,1,0,1,0,1,0,"BothMailers"
586,25,0,0,1,1,0,1,0,"BothMailers"
587,79,1,1,1,1,0,1,0,"HowToOnly"
588,62,1,1,1,0,0,1,1,"BothMailers"
589,56,0,0,0,0,1,1,0,"BothMailers"
590,68,1,1,1,1,1,1,1,"HowToOnly"
591,92,1,1,1,0,0,1,0,"HowToOnly"
592,71,1,1,0,1,1,1,0,"Control"
593,79,1,1,1,0,1,1,1,"HowToOnly"
594,77,1,1,1,1,1,1,0,"HowToOnly"
595,72,0,1,1,1,0,1,1,"Control"
596,39,0,0,0,0,1,1,0,"BothMailers"
597,59,1,1,1,0,0,1,0,"Control"
598,70,0,0,0,0,1,1,0,"Control"
600,34,0,0,0,1,1,1,1,"HowToOnly"
601,73,1,1,1,0,1,1,1,"HowToOnly"
602,46,1,1,0,0,1,1,1,"HowToOnly"
604,68,1,1,1,1,1,1,1,"BothMailers"
605,61,0,1,0,1,1,1,0,"BothMailers"
606,35,0,1,0,0,0,1,0,"HowToOnly"
607,38,0,1,1,1,1,1,1,"BothMailers"
608,31,0,1,0,1,1,1,0,"BothMailers"
609,69,0,1,0,0,0,1,0,"Control"
610,68,0,0,0,1,0,1,1,"Control"
